<<<<<<< HEAD
Roll No,Institute,Current Semester,Gender,Admission Cast Category,Religion,Permanent District,Total Fees,Last Exam,Last Exam Percentage,Last Exam Passing,Last Exam Board/Uni.,Specialisation,Churn,student_status_new,data
23BCA04526,BPCCS,1,Male,SCST,Hindu,GANDHINAGAR,18000,HSC,55,2022-23,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04446,BPCCS,3,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,50.26,2022-23,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04022,BPCCS,1,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,48.85,2022-23,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04024,BPCCS,1,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,71.23,2021-22,G.H.S.E.B,SCIENCE,1,dropout_sem1,Churn
23BCA04393,BPCCS,2,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,64.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04128,BPCCS,3,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,62,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA04077,BPCCS,1,Male,OPEN,Hindu,BANASKANTHA,18000,HSC,52,2023-24,G.H.S.E.B,SCIENCE,1,dropout_sem1,Churn
23TBCA04090,BPCCS,1,Female,OPEN,Hindu,AMRELI,18000,HSC,66.85,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04097,BPCCS,1,Male,OPEN,Hindu,KUTCH,18000,HSC,64.6,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04103,BPCCS,1,Female,OPEN,Muslim,GANDHINAGAR,18000,HSC,64.2,2023-24,CBSE,COMMERCE,1,dropout_sem1,Churn
23BCA04014,BPCCS,3,Male,OPEN,Muslim,MORBI,18000,HSC,6.85,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04130,BPCCS,1,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,50.66,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04086,BPCCS,3,Male,SEBC,Hindu,KUTCH,18000,HSC,67.48,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04184,BPCCS,3,Male,OPEN,Muslim,MORBI,18000,HSC,47.42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04167,BPCCS,2,Male,OPEN,Hindu,SURENDRANAGAR,18000,HSC,52.43,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04170,BPCCS,1,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,56.2,2023-24,CBSE,COMMERCE,1,dropout_sem1,Churn
23BCA04454,BPCCS,2,Female,OPEN,Hindu,GANDHINAGAR,18000,SSC,0,2023-24,GSEB,COMMERCE,1,dropout_sem1,Churn
23BCA04095,BPCCS,2,Male,OPEN,Hindu,JUNAGADH,18000,HSC,44.42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
